ID	Género	Edad	Estudios_realizados	Años_experiencia	Caso_clínico	sexo_protagonista_caso	APsi	Credibilidad	Incapacidad	Ayuda	APsi2	Credibilidad2	LegitimTotal
206572604	1	28	1	0	1	2	22	10	4	4	28	4	40
207793322	1	32	1	5	1	2	20	23	20	18	19	24	81
208606741	1	21	1	0	1	2	18	21	18	20	21	18	77
208607628	1	20	1	0	1	2	14	19	16	18	15	18	67
208782075	1	28	1	7	1	2	17	15	17	20	17	15	69
208782101	1	28	1	7	1	2	16	17	17	22	18	15	72
208782123	1	28	1	6	1	2	12	18	24	20	12	18	74
208782934	1	27	1	5	1	2	17	23	20	19	17	23	79
208783372	1	29	1	7	1	2	13	25	21	22	16	22	81
208783278	1	28	1	7	1	2	16	21	22	19	20	17	78
208783819	1	28	1	6	1	2	18	18	19	15	17	19	70
208803797	1	29	1	6	1	2	15	21	23	24	14	22	83
208872762	1	27	2	1	1	2	18	19	17	21	20	17	75
208875845	1	30	2	5	1	2	17	19	17	14	18	18	67
208877106	1	29	1	5	1	2	28	28	23	25	28	28	104
208893308	1	25	1	4	1	2	18	16	21	22	18	16	77
207796678	1	36	1	10	2	1	26	25	21	24	28	23	96
208606978	1	24	1	3	2	1	16	21	23	22	15	22	82
208608573	1	20	1	0	2	1	21	22	23	22	21	22	88
208614220	1	20	1	3	2	1	17	21	20	18	19	19	76
208780795	1	50	1	4	2	1	17	19	20	21	18	18	77
208782037	1	30	1	6	2	1	21	20	23	22	23	18	86
208782073	1	33	1	6	2	1	14	20	22	25	13	21	81
208783605	2	52	1	32	2	1	19	18	19	17	18	19	73
208783786	1	33	1	13	2	1	12	19	18	18	12	19	67
208788155	2	41	2	17	2	1	22	19	14	17	21	20	72
208814593	1	49	1	2	2	1	22	23	19	20	24	21	84
208816027	2	41	1	18	2	1	20	21	16	18	21	20	75
208859743	1	30	1	9	2	1	16	21	24	22	16	21	83
208860126	2	29	1	8	2	1	15	20	19	23	15	20	77
208865175	1	25	1	3	2	1	15	20	21	14	17	18	70
208865595	2	45	2	34	2	1	18	17	18	17	17	18	70
208868936	2	63	2	30	2	1	20	20	17	18	20	20	75
208871691	1	62	1	30	2	1	22	19	14	19	23	18	74
208890503	1	30	1	10	2	1	19	17	19	20	20	16	75
208890701	2	38	1	9	2	1	-99	-99	16	16	-99	-99	-99
208890741	2	30	1	9	2	1	18	18	20	16	18	18	72
208897746	1	34	1	9	2	1	23	22	20	18	25	20	83
208899988	1	27	1	5	2	1	13	16	13	16	14	15	58
207899255	1	37	2	7	3	2	23	25	18	19	25	23	85
208606968	1	20	1	0	3	2	20	26	26	25	20	26	97
208607597	1	20	1	0	3	2	21	23	18	19	23	21	81
208620228	1	22	1	0	3	2	16	18	19	17	19	15	70
208782960	1	28	2	4	3	2	17	18	18	19	16	19	72
208783733	1	26	2	2	3	2	16	15	18	17	14	17	66
208785076	1	20	1	0	3	2	28	26	21	21	28	26	96
208804980	1	33	1	13	3	2	9	21	21	16	10	20	67
208804984	1	22	1	2	3	2	14	16	20	19	13	17	69
208804995	1	27	2	2	3	2	17	20	17	17	17	20	71
208805035	1	40	1	20	3	2	17	18	19	23	19	16	77
208805161	1	29	1	5	3	2	15	14	14	12	13	16	55
208805176	1	30	1	12	3	2	18	19	13	18	21	16	68
208805118	1	49	1	25	3	2	17	17	23	20	18	16	77
208805309	1	29	1	7	3	2	19	21	17	19	19	21	76
208805344	1	32	1	5	3	2	14	17	23	25	14	17	79
208805258	1	28	2	4	3	2	15	20	18	21	15	20	74
208805901	1	54	1	3	3	2	25	25	24	24	25	25	98
208805934	2	36	2	12	3	2	18	21	21	18	18	21	78
208807154	1	33	1	12	3	2	18	20	21	22	19	19	81
208816453	1	28	2	1	3	2	18	18	18	18	18	18	72
208826952	1	27	1	5	3	2	19	20	22	20	20	19	81
208905306	1	30	2	3	3	2	15	14	17	16	16	13	62
208918745	1	27	1	6	3	2	17	23	26	27	18	22	93
207795007	1	28	1	1	4	1	19	20	18	15	19	20	72
208606845	1	24	1	0	4	1	16	19	21	22	20	15	78
208606996	1	20	1	0	4	1	16	21	27	18	18	19	82
208611142	1	20	1	0	4	1	16	26	20	24	16	26	86
208620293	1	21	1	0	4	1	24	28	24	27	24	28	103
208781763	1	38	1	18	4	1	12	17	21	20	12	17	70
208783078	1	27	1	4	4	1	17	16	13	19	18	15	65
208783103	1	27	1	5	4	1	17	19	19	18	17	19	73
208783574	1	40	1	15	4	1	21	18	18	18	20	19	75
208783627	1	41	1	20	4	1	19	26	24	22	21	24	91
208783758	1	50	1	28	4	1	17	27	21	24	18	26	89
208783088	1	38	1	17	4	1	19	16	16	17	21	14	68
208787807	1	43	1	20	4	1	17	21	21	22	18	20	81
208859997	1	28	1	6	4	1	18	17	18	19	18	17	72
208860439	1	29	1	6	4	1	18	18	23	22	21	15	81
208866653	1	29	1	3,5	4	1	17	23	16	16	19	21	72
208902384	1	28	1	4	4	1	16	19	18	16	16	19	69
